country,year,total_consumption,energy_consumption_per_capita,happiness_score,average_pm25_concentration,aqi_pm25_concentration,aqi_pm25_category,gdp,gdp_per_capita,unemployed_rate,cpi,hdi
Japan,2018,13132.519000000002,0.0001040151146395,5.915,11.471066666666667,55.41757667934094,MODERATE,4850000000000.0,38414.0549122341,2.467,0.989094598,0.917
South Korea,2018,9112.07,0.0001763277208965,5.875,23.36294736842105,77.57355213127877,MODERATE,1970000000000.0,38121.48174522853,3.824,1.47583935,0.918
Mexico,2018,6697.664999999999,5.400738904482485e-05,6.488,13.11278947368421,58.47629977986792,MODERATE,2050000000000.0,16530.409858046194,3.275,4.899350154,0.779
Netherlands,2018,4130.450000000001,0.000238947122771,7.441,7.720974358974359,42.89430199430199,GOOD,819000000000.0,47379.26704100337,3.831,1.703497947,0.939
Pakistan,2018,4050.749,1.84349955341858e-05,5.472,37.83,106.73718592964823,UNHEALTHY FOR SENSITIVE,1170000000000.0,5324.680639308282,4.083,5.078057259,0.535
Poland,2018,4533.525000000001,0.0001176882841212,6.123,9.511463157894736,51.76660436261757,MODERATE,1070000000000.0,27776.722089274692,3.846,1.812951565,0.876
Turkey,2018,5854.688999999999,7.070085989371434e-05,5.483,8.752066666666666,48.62259259259259,GOOD,1980000000000.0,23910.35673962433,10.956,16.3324639,0.838
United States,2018,57955.215,0.0001744903035355,6.886,7.011234567901234,38.951303155006855,GOOD,18100000000000.0,54495.0871805781,3.896,2.442583297,0.93
Vietnam,2018,4407.261,4.6434095809012094e-05,5.103,33.3775,96.23184410646388,MODERATE,682000000000.0,7185.427262362327,1.161,3.539628059,0.711
United Arab Emirates,2019,4447.496999999999,0.0004828116756371,6.825,18.2552,68.05721673003802,MODERATE,735000000000.0,79790.17896882864,2.331,-1.931081148,0.933
Australia,2019,5527.785999999999,0.0002179969782114,7.228,6.705117647058823,37.25065359477124,GOOD,1260000000000.0,49690.09157489512,5.159,1.610767873,0.941
Bangladesh,2019,2987.106,1.8047209680182168e-05,4.456,86.481,172.7177253218884,UNHEALTHY,717000000000.0,4331.9016267553325,4.693,5.591996399,0.646
Brazil,2019,10738.613999999998,5.070576998480707e-05,6.3,3.2297906976744186,17.94328165374677,GOOD,3050000000000.0,14401.541805456607,11.936,3.732976212,0.764
Canada,2019,11316.106,0.0003015812024033,7.278,5.526483333333333,30.70268518518518,GOOD,1710000000000.0,45572.55438484727,5.69,1.949269024,0.932
China,2019,87805.094,6.1753508104696e-05,5.191,38.47553764705882,108.32670073898906,UNHEALTHY FOR SENSITIVE,23600000000000.0,16597.929856675808,4.56,2.899234164,0.775
Germany,2019,10104.417,0.0001215230612964,6.985,5.2065108359133125,28.925060199518402,GOOD,3890000000000.0,46783.966699244666,3.136,1.445659769,0.951
Spain,2019,5468.866999999999,0.0001160345385235,6.354,5.041191358024691,28.006618655692726,GOOD,1650000000000.0,35008.52892633807,14.104,0.699518994,0.904
France,2019,7809.960999999999,0.0001212731382849,6.592,4.146218543046357,23.03454746136865,GOOD,2640000000000.0,40993.94159232891,8.415,1.108254923,0.905
United Kingdom,2019,6772.684000000001,0.0001014198847356,7.054,5.396457142857143,29.98031746031746,GOOD,2620000000000.0,39234.09065111519,3.737,1.738104601,0.933
Indonesia,2019,6808.659,2.5256273692157303e-05,5.192,26.69783333333333,83.78683776932826,MODERATE,3270000000000.0,12129.85038219044,3.59,3.03058665,0.718
India,2019,21483.342000000004,1.5532611246170147e-05,4.015,9.473292682926829,51.6954882685709,MODERATE,9600000000000.0,6940.869254105501,6.51,3.729505735,0.638
Italy,2019,5983.173000000001,0.0001001737779788,6.223,7.556491841491842,41.980510230510234,GOOD,2120000000000.0,35494.27859017261,9.952,0.611246944,0.899
