Country,pm10_concentration,pm25_concentration,no2_concentration,Total Air Pollutants Concentration,Average pm10_concentration,Average pm25_concentration,Average no2_concentration,Average Air Pollutants Concentration,Year
Spain,5163.629,1687.192,3651.64,10502.461,15.937126543209876,5.207382716049382,11.270493827160493,32.41500308641975,2018
Turkey,7654.971,1444.091,3381.605,12480.667,46.39376363636363,8.752066666666666,20.494575757575756,75.64040606060605,2018
United Arab Emirates,563.598,103.059,197.381,864.038,112.71959999999999,20.6118,39.4762,172.8076,2018
United Kingdom,832.7860000000001,568.229,2136.54,3537.555,8.007557692307692,5.463740384615385,20.543653846153845,34.01495192307692,2018
United States,3059.965,2271.64,1586.904,6918.509,9.444336419753087,7.0112345679012344,4.8978518518518515,21.353422839506173,2018
Vietnam,0.0,66.755,0.0,66.755,0.0,33.3775,0.0,33.3775,2018
Australia,1150.611,455.948,197.268,1803.827,16.92075,6.705117647058823,2.901,26.526867647058822,2019
Bangladesh,0.0,86.481,0.0,86.481,0.0,86.481,0.0,86.481,2019
Brazil,980.846,138.881,542.562,1662.289,22.810372093023258,3.2297906976744186,12.617720930232558,38.65788372093023,2019
Canada,251.5,994.767,1565.706,2811.973,1.3972222222222221,5.526483333333333,8.698366666666667,15.622072222222222,2019
China,276.69,32704.207,0.0,32980.897,0.3255176470588235,38.47553764705882,0.0,38.801055294117646,2019
France,4237.406,1252.158,3738.027,9227.591,14.031145695364238,4.146218543046357,12.377572847682119,30.554937086092718,2019
Germany,4121.373,1681.703,6378.824,12181.9,12.759668730650153,5.2065108359133125,19.748681114551083,37.71486068111455,2019
India,3890.788,388.405,539.929,4819.122,94.89726829268292,9.473292682926829,13.168999999999999,117.53956097560976,2019
Indonesia,174.715,160.187,125.55000000000001,460.452,29.11916666666667,26.697833333333335,20.925,76.742,2019
Italy,8560.354,3241.735,7731.243,19533.332,19.95420512820513,7.556491841491842,18.021545454545457,45.53224242424242,2019
Japan,0.0,151.606,279.293,430.899,0.0,10.107066666666666,18.619533333333333,28.7266,2019
Malaysia,469.137,335.466,0.115,804.718,29.3210625,20.966625,0.0071875,50.294875,2019
Netherlands,638.347,264.748,647.846,1550.941,16.367871794871796,6.788410256410256,16.611435897435896,39.76771794871795,2019
Pakistan,0.0,287.429,22.544,309.973,0.0,71.85725,5.636,77.49325,2019
Poland,4922.014,1634.61,1714.535,8271.159,25.112316326530614,8.33984693877551,8.74762755102041,42.19979081632653,2019
Saudi Arabia,1592.307,0.0,0.0,1592.307,132.69225,0.0,0.0,132.69225,2019
South Korea,925.329,527.044,0.422,1452.795,42.06040909090909,23.956545454545452,0.019181818181818182,66.03613636363637,2019
Spain,5355.812,1633.346,3609.066,10598.224,16.530283950617285,5.041191358024691,11.139092592592592,32.71056790123457,2019
Thailand,1349.61,789.31,504.35,2643.27,39.694411764705876,23.215,14.833823529411765,77.74323529411765,2019
Turkey,7495.466,1774.701,4619.337,13889.504,43.326393063583815,10.258387283236994,26.701369942196536,80.28615028901734,2019
United Arab Emirates,517.828,91.27600000000001,175.471,784.575,103.56559999999999,18.255200000000002,35.0942,156.91500000000002,2019
United Kingdom,886.183,566.628,2121.53,3574.341,8.439838095238095,5.396457142857143,20.205047619047622,34.04134285714286,2019
United States,2777.153,2103.783,1532.04,6412.976,8.571459876543209,6.493157407407407,4.728518518518518,19.793135802469134,2019
Vietnam,0.0,78.712,0.0,78.712,0.0,39.356,0.0,39.356,2019
Canada,141.0,1043.317,1451.466,2635.783,0.7704918032786885,5.701185792349727,7.931508196721311,14.403185792349726,2020
China,0.0,9316.02,0.0,9316.02,0.0,33.63184115523466,0.0,33.63184115523466,2020
France,3974.479,1254.147,3004.083,8232.709,13.204249169435215,4.1666013289036545,9.98034219269103,27.3511926910299,2020
Germany,3686.781,1509.5,5139.141,10335.422,11.77885303514377,4.822683706070287,16.418980830670925,33.02051757188499,2020
India,17273.202,3553.156,4200.362,25026.72,86.36601,17.76578,21.00181,125.1336,2020
Indonesia,99.559,94.64,173.95,368.149,16.593166666666665,15.773333333333333,28.991666666666664,61.35816666666667,2020
Italy,8615.546,3391.617,6826.539,18833.702,19.897334872979215,7.832833718244804,15.765678983833718,43.49584757505774,2020
Netherlands,575.962,223.198,539.349,1338.509,14.76825641025641,5.723025641025641,13.82946153846154,34.32074358974359,2020
Pakistan,0.0,32.294,21.062,53.355999999999995,0.0,32.294,21.062,53.355999999999995,2020
Poland,4587.73,1635.433,1544.4759999999999,7767.639,22.27053398058252,7.938995145631068,7.4974563106796115,37.706985436893206,2020
Saudi Arabia,1587.353,0.0,0.0,1587.353,132.27941666666666,0.0,0.0,132.27941666666666,2020
Spain,5432.079,1626.015,3008.942,10067.036,16.662819018404907,4.987776073619632,9.229883435582822,30.880478527607362,2020
Turkey,7560.813,2071.166,4536.46,14168.439,42.00451666666667,11.506477777777778,25.202555555555556,78.71355,2020
United Arab Emirates,626.027,0.0,203.869,829.896,104.33783333333334,0.0,33.97816666666667,138.316,2020
United Kingdom,820.083,449.753,1713.91,2983.746,8.454463917525773,4.6366288659793815,17.66917525773196,30.760268041237115,2020
United States,3044.58,2185.238,1378.588,6608.406,9.396851851851851,6.744561728395062,4.254901234567901,20.396314814814815,2020
Vietnam,0.0,116.74,0.0,116.74,0.0,23.348,0.0,23.348,2020
France,3960.889,1428.167,3011.743,8400.798999999999,13.472411564625851,4.857710884353741,10.24402380952381,28.574146258503397,2021
Germany,3724.302,1867.913,5072.29,10664.505,11.78576582278481,5.911117088607595,16.051550632911393,33.74843354430379,2021
Indonesia,115.762,112.004,108.08,335.846,19.293666666666667,18.667333333333335,18.013333333333332,55.974333333333334,2021
Italy,8832.464,3295.772,7067.691,19195.927,19.759427293064878,7.3730917225950785,15.811389261744965,42.94390827740492,2021
Pakistan,35.49,0.0,14.99,50.480000000000004,35.49,0.0,14.99,50.480000000000004,2021
Saudi Arabia,1446.757,45.6,0.0,1492.357,111.289,3.5076923076923077,0.0,114.79669230769231,2021
Spain,5428.894,1773.07,3102.722,10304.686,16.302984984984985,5.324534534534535,9.317483483483484,30.945003003003002,2021
Thailand,1771.6,950.767,660.884,3383.2509999999997,38.51304347826087,20.668847826086957,14.36704347826087,73.5489347826087,2021
United Arab Emirates,609.233,198.66,164.79500000000002,972.688,101.53883333333333,33.11,27.465833333333336,162.11466666666666,2021
United States,3009.407,2248.222,1326.1009999999999,6583.73,9.288293209876544,6.9389567901234575,4.092904320987654,20.320154320987655,2021
Italy,18.469,0.0,29.12,47.589,6.156333333333333,0.0,9.706666666666667,15.863,2022
Saudi Arabia,2064.52,194.1,0.0,2258.62,158.80923076923077,14.930769230769231,0.0,173.73999999999998,2022
