Country,Year,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia,Total Air Pollutants
Russia,2019,3650510.3,4936763.22,7415944.68,278986.61,3990978.97,156322.77,1177554.03,21609079.58
Saudi Arabia,2019,2113143.04,3687984.5,1483704.82,24647.65,1712130.22,69879.49,125937.71,9219446.430000002
South Korea,2019,1008372.29,278491.76,890880.28,59873.38,978284.36,26332.64,311140.14,3555393.85
Spain,2019,641691.58,188274.45,1240913.41,24732.6,526105.71,11285.89,510394.02,3145416.66
Thailand,2019,1206344.47,448504.98,9762535.91,240695.88,3169442.24,100016.64,737725.43,15667284.55
Turkey,2019,867050.28,2638195.05,1572748.11,60191.32,621408.43,42264.46,736225.55,6540102.2
United Arab Emirates,2019,539097.11,525422.88,917063.12,6776.29,975937.86,18490.99,22762.02,3007569.27
United Kingdom,2019,738638.52,139173.31,1434706.76,30705.48,788996.98,13465.19,361509.83,3509215.07
United States,2019,7679316.62,1921172.15,28843362.52,279399.57,10646076.14,128396.08,3628009.15,53127751.23
Vietnam,2019,1177238.84,852061.42,11708923.29,226891.68,2296905.23,90055.98,667801.76,17021897.2
