country,human_development_index,year,cpi,unemployed_rate,gdp,gdp_per_capita,happiness_score,total_consumption
Vietnam,0.706,2017,3.520256888,1.874,634000000000.0,6742.310426861841,5.073999882,2157.5910000000003
United Arab Emirates,0.917,2018,3.068633793,2.236,727000000000.0,79538.98460554134,6.774,2297.856
Australia,0.941,2018,1.911400944,5.3,1230000000000.0,49240.91329003443,7.272,3384.538
Bangladesh,0.636,2018,5.543621395,4.532,679000000000.0,4148.23806306925,4.5,863.5500000000001
Brazil,0.762,2018,3.664850284,12.33,3010000000000.0,14321.971781319078,6.419,8531.001
Canada,0.93,2018,2.268225672,5.837,1680000000000.0,45362.176477227375,7.328,9357.992
China,0.766,2018,2.0747904,4.31,22300000000000.0,15736.702359483526,5.246,81759.82699999999
Germany,0.946,2018,1.732168798,3.384,3850000000000.0,46443.346789116906,6.965,8225.648000000001
Egypt,0.717,2018,14.40146578,9.855,1220000000000.0,11760.082593566302,4.419,2186.251
Spain,0.899,2018,1.674981369,15.255,1620000000000.0,34621.27023132394,6.31,3561.7940000000003
France,0.903,2018,1.850815083,9.018,2600000000000.0,40449.41666651628,6.489,5910.240999999998
United Kingdom,0.928,2018,2.292839903,3.996,2580000000000.0,38836.122941075846,7.19,4819.081999999999
Indonesia,0.712,2018,3.198346416,4.387,3120000000000.0,11682.468353391432,5.093,4470.798
India,0.636,2018,3.938826467,7.652,9170000000000.0,6698.303971319093,4.19,18899.099999999995
Iran,0.787,2018,18.01411834,12.195,1480000000000.0,17286.173537297724,4.707,6220.517000000002
Italy,0.894,2018,1.137487636,10.61,2110000000000.0,35238.652185350904,6.0,4035.885
Japan,0.917,2018,0.989094598,2.467,4850000000000.0,38414.0549122341,5.915,11114.519000000002
South Korea,0.918,2018,1.47583935,3.824,1970000000000.0,38121.48174522853,5.875,7094.07
Mexico,0.779,2018,4.899350154,3.275,2050000000000.0,16530.409858046194,6.488,4679.664999999999
Malaysia,0.802,2018,0.884709161,3.3,794000000000.0,24506.72499719901,6.322,2499.853
Nigeria,0.53,2018,12.09510652,5.065,1060000000000.0,5343.075446806115,5.155,0.0
Netherlands,0.939,2018,1.703497947,3.831,819000000000.0,47379.26704100337,7.441,2112.45
Pakistan,0.535,2018,5.078057259,4.083,1170000000000.0,5324.680639308282,5.472,2032.7490000000005
Philippines,0.706,2018,5.309346616,2.338,929000000000.0,8556.783589603321,5.524,1166.381
Poland,0.876,2018,1.812951565,3.846,1070000000000.0,27776.722089274692,6.123,2515.525
Russia,0.836,2018,2.878297236,4.846,3630000000000.0,24922.36853841939,5.81,17373.531000000003
Saudi Arabia,0.856,2018,2.45814158,6.029,1670000000000.0,47689.57978683729,6.371,6202.919999999999
Thailand,0.796,2018,1.063897542,0.766,1130000000000.0,15886.894757111031,6.072,3053.837
Turkey,0.838,2018,16.3324639,10.956,1980000000000.0,23910.35673962433,5.483,3836.689
United States,0.93,2018,2.442583297,3.896,18100000000000.0,54495.0871805781,6.886,55937.215
Vietnam,0.711,2018,3.539628059,1.161,682000000000.0,7185.427262362327,5.103,2389.261
United Arab Emirates,0.933,2019,-1.931081148,2.331,735000000000.0,79790.17896882864,6.825,2428.497
Australia,0.941,2019,1.610767873,5.159,1260000000000.0,49690.09157489512,7.228,3508.786
Bangladesh,0.646,2019,5.591996399,4.693,717000000000.0,4331.9016267553325,4.456,968.106
Brazil,0.764,2019,3.732976212,11.936,3050000000000.0,14401.541805456607,6.3,8719.614
Canada,0.932,2019,1.949269024,5.69,1710000000000.0,45572.55438484727,7.278,9297.106
China,0.775,2019,2.899234164,4.56,23600000000000.0,16597.929856675808,5.191,85786.09400000001
Germany,0.951,2019,1.445659769,3.136,3890000000000.0,46783.966699244666,6.985,8085.417
Egypt,0.724,2019,9.152799593,7.851,1290000000000.0,12213.74947793322,4.166,2156.3760000000007
Spain,0.904,2019,0.699518994,14.104,1650000000000.0,35008.52892633807,6.354,3449.867
France,0.905,2019,1.108254923,8.415,2640000000000.0,40993.94159232891,6.592,5790.960999999999
United Kingdom,0.933,2019,1.738104601,3.737,2620000000000.0,39234.09065111519,7.054,4753.684
Indonesia,0.718,2019,3.03058665,3.59,3270000000000.0,12129.85038219044,5.192,4789.659
India,0.638,2019,3.729505735,6.51,9600000000000.0,6940.869254105501,4.015,19464.342
Iran,0.785,2019,39.90734557,10.74,1440000000000.0,16635.050828397805,4.548,6620.493
Italy,0.899,2019,0.611246944,9.952,2120000000000.0,35494.27859017261,6.223,3964.173
Japan,0.918,2019,0.468776159,2.351,4830000000000.0,38396.81606923447,5.886,10894.366
South Korea,0.922,2019,0.383000304,3.746,2020000000000.0,38993.25439863213,5.895,7027.932000000001
Mexico,0.781,2019,3.635961421,3.477,2050000000000.0,16388.814699522834,6.595,4637.577999999999
Malaysia,0.805,2019,0.662891866,3.26,829000000000.0,25271.289888094216,5.339,2565.617
Nigeria,0.537,2019,11.39642234,5.206,1080000000000.0,5312.228805800733,5.265,0.0
Netherlands,0.941,2019,2.633699102,3.38,835000000000.0,48090.047606267486,7.488,2116.0880000000006
