country,year,total_consumption,happiness_score,aqi_pm25_concentration,aqi_pm25_category,gdp_per_capita,gdp,unemployed_rate,cpi,human_development_index
India,2018,18899.099999999995,4.19,87.33359315589354,MODERATE,6698.303971319093,9170000000000.0,7.652,3.938826467,0.636
Indonesia,2018,4470.798,5.093,68.82118821292775,MODERATE,11682.468353391432,3120000000000.0,4.387,3.198346416,0.712
Italy,2018,4035.885,6.0,43.065162037037034,GOOD,35238.652185350904,2110000000000.0,10.61,1.137487636,0.894
Japan,2018,11114.519000000002,5.915,55.41757667934094,MODERATE,38414.0549122341,4850000000000.0,2.467,0.989094598,0.917
Mexico,2018,4679.664999999999,6.488,58.47629977986792,MODERATE,16530.409858046194,2050000000000.0,3.275,4.899350154,0.779
Netherlands,2018,2112.45,7.441,42.89430199430199,GOOD,47379.26704100337,819000000000.0,3.831,1.703497947,0.939
Pakistan,2018,2032.7490000000005,5.472,106.73718592964823,UNHEALTHY FOR SENSITIVE,5324.680639308282,1170000000000.0,4.083,5.078057259,0.535
Poland,2018,2515.525,6.123,51.76660436261757,MODERATE,27776.722089274692,1070000000000.0,3.846,1.812951565,0.876
Saudi Arabia,2018,6202.919999999999,6.371,0.0,GOOD,47689.57978683729,1670000000000.0,6.029,2.45814158,0.856
South Korea,2018,7094.07,5.875,77.57355213127877,MODERATE,38121.48174522853,1970000000000.0,3.824,1.47583935,0.918
Spain,2018,3561.7940000000003,6.31,28.929903978052124,GOOD,34621.27023132394,1620000000000.0,15.255,1.674981369,0.899
Turkey,2018,3836.689,5.483,48.62259259259259,GOOD,23910.35673962433,1980000000000.0,10.956,16.3324639,0.838
United Arab Emirates,2018,2297.856,6.774,72.4478403041825,MODERATE,79538.98460554134,727000000000.0,2.236,3.068633793,0.917
United Kingdom,2018,4819.081999999999,7.19,30.35411324786325,GOOD,38836.122941075846,2580000000000.0,3.996,2.292839903,0.928
United States,2018,55937.215,6.886,38.951303155006855,GOOD,54495.0871805781,18100000000000.0,3.896,2.442583297,0.93
Vietnam,2018,2389.261,5.103,96.23184410646388,MODERATE,7185.427262362327,682000000000.0,1.161,3.539628059,0.711
Australia,2019,3508.786,7.228,37.25065359477124,GOOD,49690.09157489512,1260000000000.0,5.159,1.610767873,0.941
Bangladesh,2019,968.106,4.456,172.7177253218884,UNHEALTHY,4331.9016267553325,717000000000.0,4.693,5.591996399,0.646
Brazil,2019,8719.614,6.3,17.94328165374677,GOOD,14401.541805456607,3050000000000.0,11.936,3.732976212,0.764
Canada,2019,9297.106,7.278,30.70268518518518,GOOD,45572.55438484727,1710000000000.0,5.69,1.949269024,0.932
China,2019,85786.09400000001,5.191,108.32670073898906,UNHEALTHY FOR SENSITIVE,16597.929856675808,23600000000000.0,4.56,2.899234164,0.775
France,2019,5790.960999999999,6.592,23.03454746136865,GOOD,40993.94159232891,2640000000000.0,8.415,1.108254923,0.905
Germany,2019,8085.417,6.985,28.925060199518402,GOOD,46783.966699244666,3890000000000.0,3.136,1.445659769,0.951
India,2019,19464.342,4.015,51.6954882685709,MODERATE,6940.869254105501,9600000000000.0,6.51,3.729505735,0.638
Indonesia,2019,4789.659,5.192,83.78683776932826,MODERATE,12129.85038219044,3270000000000.0,3.59,3.03058665,0.718
Italy,2019,3964.173,6.223,41.980510230510234,GOOD,35494.27859017261,2120000000000.0,9.952,0.611246944,0.899
Japan,2019,10894.366,5.886,52.87628390367554,MODERATE,38396.81606923447,4830000000000.0,2.351,0.468776159,0.918
Malaysia,2019,2565.617,5.339,73.1089211026616,MODERATE,25271.289888094216,829000000000.0,3.26,0.662891866,0.805
Netherlands,2019,2116.0880000000006,7.488,37.71339031339031,GOOD,48090.047606267486,835000000000.0,3.38,2.633699102,0.941
