Country,Human Development Index,Year,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
China,0.757,2017,1410275968.0,25.936,21915.443,31511.137,2412.522,3100.576,5138.246,633.589,7183.172,254.016,4504.657,313.5,810.629,79820.42300000002,5.6599151379710685e-05
China,0.766,2018,1417069440.0,33.669,22352.146,32720.146,2839.26,3171.928,5689.496,748.955,7528.741,299.108,4940.542,468.029,967.807,83777.82699999999,5.912048106830953e-05
China,0.775,2019,1421864064.0,36.053,22922.236,33897.516,3083.768,3354.375,6291.029,882.026,7891.51,359.759,5409.004,590.458,1068.36,87805.094,6.1753508104696e-05
China,0.781,2020,1424929792.0,27.493,23402.553,34728.391,3366.173,3471.19,6765.32,922.889,7959.667,432.86,5842.432,685.724,1225.164,90849.856,6.375742616236913e-05
China,0.785,2021,1425893504.0,28.61,24315.475,36292.246,3802.679,3401.68,7554.755,1023.213,8174.094,529.582,6531.542,855.653,1716.017,96246.546,6.749911247228741e-05
China,0.788,2022,1425887360.0,29.183,24397.779,36372.648,3776.475,3384.379,8143.667,1045.2,8198.392,582.571,7098.467,1113.95,1988.383,98153.094,6.883649911869616e-05
Egypt,0.695,2015,97723792.0,0.0,9.319,934.044,460.188,36.849,42.064,0.0,464.537,0.0,42.064,0.113,5.102,4009.2799999999993,4.1026651933441134e-05
Egypt,0.702,2016,99784032.0,0.0,14.17,987.889,493.541,35.33,42.372,0.0,480.178,0.0,42.372,0.625,6.416,4118.893,4.127807743828191e-05
Egypt,0.709,2017,101789384.0,0.0,13.952,1029.495,559.328,34.033,41.25,0.0,456.216,0.0,41.25,1.604,5.614,4199.742,4.125913562852488e-05
Egypt,0.717,2018,103740768.0,0.0,25.389,1027.787,595.953,34.192,43.559,0.0,406.445,0.0,43.559,1.463,7.904,4204.251,4.052650738039649e-05
Egypt,0.724,2019,105618672.0,0.0,22.941,996.942,590.387,37.113,54.164,0.0,383.614,0.0,54.164,3.925,13.126,4175.375999999999,3.953255537998053e-05
Egypt,0.729,2020,107465128.0,0.0,8.733,924.493,583.079,39.141,64.576,0.0,332.68,0.0,64.576,11.694,13.742,4062.714,3.780495194683061e-05
Egypt,0.726,2021,109262184.0,0.0,14.114,994.929,621.248,36.45,63.814,0.0,359.567,0.0,63.814,13.011,14.353,4202.3,3.8460699266271305e-05
Egypt,0.728,2022,110990096.0,0.0,12.244,1043.381,605.909,34.641,63.059,0.0,425.229,0.0,63.059,14.044,14.374,4297.9400000000005,3.872363530526184e-05
France,0.893,2015,63809768.0,32.748,102.28,1412.453,407.518,146.92,1409.82,1130.386,902.656,22.711,279.434,19.559,57.495,7938.98,0.0001244163746215
France,0.896,2016,63989320.0,32.946,99.514,1432.812,445.299,160.417,1332.641,1035.759,887.998,24.619,296.882,21.858,57.042,7843.787,0.0001225796273503
France,0.899,2017,64144092.0,33.204,109.046,1458.23,447.657,130.309,1296.689,1017.315,901.527,26.319,279.374,24.225,65.318,7806.213000000002,0.0001216980824983
France,0.903,2018,64277812.0,32.826,100.205,1408.24,428.384,169.104,1380.716,1048.389,879.651,27.588,332.328,27.325,75.485,7928.241,0.0001233433552467
France,0.905,2019,64399760.0,34.182,79.423,1388.441,436.62,147.688,1341.122,1009.287,872.398,28.017,331.834,30.704,91.245,7809.960999999999,0.0001212731382849
France,0.9,2020,64480052.0,30.8,55.982,1190.199,405.828,162.052,1250.967,891.721,728.389,28.128,359.246,33.396,104.869,7261.577,0.0001126174184847
France,0.906,2021,64531448.0,34.84,75.042,1287.57,430.414,153.476,1306.055,952.558,782.114,29.48,353.496,38.938,96.762,7561.744999999999,0.0001171792239963
France,0.91,2022,64626624.0,40.186,64.419,1225.805,383.718,115.418,1072.755,737.357,777.668,31.067,335.398,49.911,98.816,6954.517999999999,0.0001076107271207
Germany,0.941,2015,82073232.0,30.778,915.056,2981.134,769.536,51.105,799.726,237.191,1296.542,160.996,562.535,102.538,217.118,10139.255,0.0001235391217443
Germany,0.941,2016,82331432.0,30.851,889.935,3060.661,848.847,55.002,780.79,217.415,1321.879,163.024,563.375,100.539,213.96,10262.278,0.0001246459310947
Germany,0.944,2017,82624368.0,31.384,835.93,3060.821,877.385,53.625,827.313,194.914,1347.506,162.955,632.398,103.154,281.28,10425.665,0.0001261814795364
Germany,0.946,2018,82896696.0,32.718,806.69,2944.437,858.507,46.811,843.246,192.963,1279.239,162.595,650.283,117.259,290.9,10243.647999999996,0.000123571245831
Germany,0.951,2019,83148144.0,32.16,624.218,2809.212,892.83,52.01,885.628,189.89,1292.164,160.513,695.738,119.201,331.853,10104.417,0.0001215230612964
Germany,0.948,2020,83328992.0,39.271,514.867,2554.146,871.075,48.119,889.736,162.255,1168.205,163.162,727.481,129.991,346.938,9635.246,0.0001156289758071
Germany,0.948,2021,83408560.0,34.888,621.935,2695.155,917.38,51.437,849.426,173.583,1155.841,160.416,675.842,129.107,299.994,9786.004,0.000117326135351
Germany,0.95,2022,83369840.0,34.941,641.76,2597.101,775.447,45.949,815.899,86.835,1179.893,165.541,729.064,157.221,325.412,9577.063,0.0001148744318089
India,0.619,2015,1322866560.0,3.592,4490.47,7264.577,478.068,358.926,665.102,98.993,2296.038,97.737,566.109,17.683,88.172,18440.467,1.393977862740744e-05
India,0.63,2016,1338636288.0,7.59,4587.692,7609.863,507.91,343.682,675.108,97.354,2514.262,79.221,577.754,30.936,116.325,19163.697000000004,1.4315835579679134e-05
India,0.636,2017,1354195712.0,5.467,4737.157,7861.351,535.999,361.465,739.391,95.548,2588.196,79.512,643.843,57.336,140.062,19862.327,1.4667249958032654e-05
India,0.636,2018,1369003264.0,10.544,4981.602,8266.076,579.963,369.748,822.03,99.143,2704.512,86.905,722.887,96.123,159.567,20917.09999999999,1.5279072409866796e-05
India,0.638,2019,1383112064.0,12.996,4989.023,8373.467,592.498,427.202,943.882,114.238,2791.946,100.591,829.644,121.96,166.895,21483.342000000004,1.5532611246170147e-05
India,0.638,2020,1396387072.0,12.182,4714.672,7856.125,603.601,429.933,972.249,112.433,2537.853,104.881,859.816,154.12,158.7,20536.565,1.4706928624443752e-05
India,0.633,2021,1407563904.0,19.677,5352.792,8565.35,623.727,419.553,1019.728,110.276,2588.831,113.308,909.452,178.734,178.181,22100.609000000004,1.5701318382202564e-05
India,0.644,2022,1417173120.0,28.016,5562.658,8949.696,582.508,456.08,1153.487,115.57,2804.53,123.114,1037.917,248.09,182.617,23266.283000000007,1.6417389429457996e-05
Indonesia,0.698,2015,259091968.0,8.366,532.274,1793.24,440.371,37.003,72.86,0.0,820.596,27.467,72.86,0.014,0.01,5820.060999999999,2.2463301525425903e-05
Indonesia,0.701,2016,261850176.0,27.504,544.316,1789.989,454.212,49.999,106.822,0.0,791.461,29.248,106.822,0.056,0.015,5916.443999999999,2.259476808600655e-05
Indonesia,0.708,2017,264498848.0,23.517,566.109,1860.053,445.182,49.586,107.655,0.0,848.762,34.474,107.655,0.077,0.0,6060.07,2.29115175579139e-05
Indonesia,0.712,2018,267066848.0,34.289,655.729,1984.084,452.81,57.244,167.543,0.0,875.545,75.269,167.543,0.239,0.503,6488.797999999999,2.4296531181586413e-05
Indonesia,0.718,2019,269582880.0,58.482,801.231,2109.228,454.684,55.78,190.401,0.0,853.313,74.551,190.401,0.312,1.276,6808.659,2.5256273692157303e-05
Indonesia,0.712,2020,271857984.0,76.806,765.38,1942.665,425.805,63.884,221.088,0.0,751.479,78.701,221.088,0.449,1.247,6568.592000000001,2.4161850622713367e-05
Indonesia,0.707,2021,273753184.0,84.981,763.23,1975.075,429.344,64.624,238.979,0.0,782.501,87.726,238.979,0.504,1.143,6688.086,2.4431080224440423e-05
Indonesia,0.713,2022,275501344.0,95.542,1216.511,2515.085,440.48,71.162,276.337,0.0,858.094,107.549,276.337,1.157,0.928,7881.182,2.8606691661003293e-05
Iran,0.782,2015,81790848.0,0.0,12.695,2690.681,1840.195,35.687,45.156,9.033,837.791,0.052,36.123,0.004,0.38,7522.797,9.197602401677018e-05
Iran,0.785,2016,83306232.0,0.0,10.56,2826.38,1963.19,41.285,58.417,16.632,852.63,0.07,41.786,0.013,0.418,7827.381,9.39591290121008e-05
Iran,0.788,2017,84505080.0,0.0,11.982,2930.551,2050.04,45.859,64.78,17.768,868.529,0.078,47.012,0.228,0.846,8054.673,9.53158437338915e-05
Iran,0.787,2018,85617560.0,0.0,15.849,3049.76,2126.434,26.029,46.159,17.481,907.478,0.078,28.678,0.587,1.984,8238.517,9.622461794052528e-05
Iran,0.785,2019,86564208.0,0.0,18.933,3155.206,2183.896,89.267,108.766,16.215,952.377,0.034,92.55,1.346,1.903,8639.492999999999,9.9804448046241e-05
Iran,0.779,2020,87290192.0,0.0,21.418,3306.496,2367.673,60.943,81.458,15.953,917.405,0.071,65.505,1.533,2.957,8861.411999999998,0.0001015166973169
Iran,0.776,2021,87923432.0,0.0,20.834,3272.439,2295.314,36.181,49.619,8.88,956.291,0.071,40.738,1.528,2.959,8705.854,9.901631228407916e-05
Iran,0.78,2022,88550568.0,0.0,21.504,3408.794,2394.013,36.51,58.079,16.427,993.278,0.09,41.651,1.801,3.25,8997.396999999999,0.0001016074453638
Italy,0.881,2015,60232908.0,15.486,143.395,1496.994,643.154,122.631,317.772,0.0,710.444,77.898,317.772,61.783,39.974,5962.303000000001,9.898746711681264e-05
Italy,0.886,2016,60118628.0,15.401,127.732,1507.98,675.458,113.592,313.951,0.0,704.79,78.43,313.951,59.174,47.353,5973.812,9.93670713842638e-05
Italy,0.889,2017,60004024.0,15.61,111.904,1541.387,715.788,96.335,301.734,0.0,713.695,77.696,301.734,64.876,47.216,6004.975000000001,0.0001000762048891
Italy,0.894,2018,59877432.0,15.979,102.567,1525.036,692.141,129.177,328.604,0.0,730.328,76.64,328.604,59.936,46.873,6053.885,0.0001011046198507
Italy,0.899,2019,59727936.0,9.359,77.534,1494.493,707.906,122.194,325.063,0.0,709.052,77.814,325.063,62.443,53.252,5983.173000000001,0.0001001737779788
Italy,0.892,2020,59500576.0,13.227,59.253,1320.996,676.252,125.1,330.966,0.0,585.492,77.862,330.966,65.504,49.273,5654.891000000001,9.503926482997412e-05
Italy,0.899,2021,59240336.0,13.822,65.182,1440.023,723.737,118.766,328.594,0.0,651.104,75.727,328.594,65.519,54.76,5886.828,9.937195494637304e-05
Italy,0.906,2022,59037472.0,12.353,86.385,1434.277,651.99,74.036,283.974,0.0,695.903,70.836,283.974,73.317,53.431,5742.476000000001,9.726832476837764e-05
Japan,0.913,2015,127250936.0,3.772,1397.981,4921.101,1187.176,230.963,442.829,11.692,2335.943,89.322,431.138,93.016,14.065,13173.998,0.0001035277100044
Japan,0.914,2016,126993856.0,4.614,1395.385,4828.55,1164.174,212.626,467.055,45.414,2268.99,74.12,421.642,115.985,14.297,13028.852,0.0001025943491313
Japan,0.916,2017,126662464.0,4.771,1415.963,4829.954,1169.865,210.89,524.723,74.247,2244.126,74.44,450.476,143.818,16.557,13176.83,0.0001040310569041
Japan,0.917,2018,126255872.0,5.137,1386.597,4710.478,1157.082,214.297,606.079,124.672,2166.799,80.503,481.406,161.977,19.492,13132.519000000002,0.0001040151146395
Japan,0.918,2019,125791680.0,4.781,1362.594,4556.221,1081.233,194.849,649.316,166.025,2112.394,86.268,483.291,177.742,19.652,12913.366,0.0001026567575852
Japan,0.917,2020,125244760.0,5.148,1270.752,4189.554,1041.275,205.723,635.695,108.366,1877.527,94.994,527.329,199.39,22.074,12197.827,9.739191483939128e-05
Japan,0.92,2021,124612528.0,5.0,1369.467,4316.124,1035.061,208.356,721.357,153.727,1911.596,109.044,567.63,220.276,24.953,12663.591,0.0001016237388266
Japan,0.92,2022,123951696.0,5.042,1365.525,4294.471,1002.223,195.192,710.41,129.528,1926.723,118.667,580.882,237.434,24.547,12612.643999999997,0.0001017545092727
Malaysia,0.792,2015,31068834.0,4.521,202.296,1069.424,468.398,37.497,45.151,0.0,398.729,2.397,45.151,0.735,0.0,4289.298999999999,0.0001380579329111
Malaysia,0.798,2016,31526414.0,4.521,217.847,1110.921,449.93,53.605,61.382,0.0,443.145,2.426,61.382,0.83,0.0,4421.989,0.0001402629870939
Malaysia,0.8,2017,31975812.0,4.405,241.405,1109.307,450.442,71.445,79.17,0.0,417.461,2.442,79.17,0.878,0.0,4473.125,0.0001398908962812
Malaysia,0.802,2018,32399270.0,5.067,258.943,1128.875,446.778,69.649,80.701,0.0,423.154,4.313,80.701,1.672,0.0,4517.853,0.0001394430491798
Malaysia,0.805,2019,32804024.0,7.531,244.729,1156.726,452.151,69.052,84.055,0.0,459.846,3.626,84.055,3.846,0.0,4584.617,0.0001397577626452
Malaysia,0.802,2020,33199988.0,9.193,288.092,1106.194,436.137,71.695,90.235,0.0,381.966,3.939,90.235,5.408,0.0,4503.094000000001,0.0001356354104706
Malaysia,0.798,2021,33573872.0,9.612,266.346,1148.04,513.517,79.03,98.61,0.0,368.176,3.939,98.61,6.029,0.0,4612.9090000000015,0.0001373957999244
Malaysia,0.807,2022,33938216.0,10.354,263.048,1226.946,519.453,82.865,104.333,0.0,444.445,3.939,104.333,7.175,0.0,4788.891,0.0001411061500698
Mexico,0.769,2015,120149896.0,1.954,147.65,2043.285,807.829,83.19,162.136,29.917,1087.805,22.981,132.219,0.545,23.55,6558.061000000001,5.458232772835693e-05
Mexico,0.773,2016,121519224.0,2.07,144.633,2092.615,830.3,80.395,160.783,27.146,1117.681,22.714,133.637,0.675,27.783,6656.432,5.4776781655551055e-05
Mexico,0.776,2017,122839256.0,2.187,176.753,2127.736,860.335,82.175,165.528,27.792,1090.648,21.955,137.736,3.158,28.262,6741.265,5.487875146362007e-05
Mexico,0.779,2018,124013864.0,2.441,157.545,2081.753,902.736,85.283,183.524,34.414,1021.472,19.989,149.111,8.497,32.9,6697.664999999999,5.400738904482485e-05
Mexico,0.781,2019,125085312.0,2.696,150.415,2058.36,933.893,62.215,183.054,28.304,974.052,19.481,154.75,26.266,44.092,6656.577999999999,5.321630408532697e-05
Mexico,0.757,2020,125998296.0,2.951,66.491,1827.884,922.448,70.429,214.033,28.17,838.945,19.149,185.863,41.589,51.745,6289.697000000001,4.991890525249644e-05
Mexico,0.757,2021,126705136.0,2.539,55.126,1928.164,916.388,90.844,247.73,29.938,956.65,16.42,217.792,52.844,55.146,6590.580999999999,5.201510537031426e-05
Mexico,0.781,2022,127504120.0,2.723,67.837,2025.715,909.47,92.707,247.369,27.144,1048.408,18.24,220.225,53.034,53.521,6788.392999999999,5.324057763780495e-05
Netherlands,0.932,2015,17041110.0,3.721,128.667,972.45,337.889,0.25,53.582,10.538,505.895,15.756,43.043,2.985,20.332,4110.108,0.0002411878099489
Netherlands,0.933,2016,17124512.0,2.975,119.278,988.767,351.611,0.268,55.247,10.173,517.878,15.67,45.074,4.288,21.873,4149.101999999998,0.0002422902328545
Netherlands,0.936,2017,17207204.0,3.848,106.972,990.816,362.972,0.162,61.39,8.689,520.871,14.699,52.701,5.866,28.127,4174.113,0.0002425793870985
Netherlands,0.939,2018,17286042.0,6.467,96.083,958.935,355.889,0.191,67.835,8.923,506.963,14.535,58.911,9.81,27.908,4130.450000000001,0.000238947122771
Netherlands,0.941,2019,17363260.0,8.081,74.694,941.012,371.611,0.196,81.317,9.89,494.707,18.584,71.428,14.233,30.335,4135.088,0.0002381515913486
Netherlands,0.938,2020,17434562.0,9.257,47.778,879.629,360.944,0.121,110.517,10.301,470.906,28.215,100.216,22.499,40.124,4100.507,0.0002351941505613
Netherlands,0.941,2021,17501696.0,9.304,65.111,883.818,348.417,0.231,130.797,9.612,470.29,34.851,121.185,29.579,47.221,4171.416,0.0002383435296784
Netherlands,0.946,2022,17564020.0,11.878,64.333,801.226,275.361,0.13,153.965,10.398,461.531,31.238,143.567,44.527,55.795,4075.949,0.0002320624207897
Nigeria,0.52,2015,183995776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.09513383611589e-05
Nigeria,0.526,2016,188666928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,1.068549756637793e-05
Nigeria,0.528,2017,193495904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,1.0423993264477576e-05
Nigeria,0.53,2018,198387616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,1.017200589778749e-05
Nigeria,0.537,2019,203304496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,9.930916628621926e-06
Nigeria,0.539,2020,208327408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,9.696275777597156e-06
Nigeria,0.542,2021,213401328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,9.470419040691256e-06
Nigeria,0.548,2022,218541216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,9.25225930837687e-06
Pakistan,0.525,2015,210969296.0,0.0,54.263,713.565,365.342,88.274,102.294,11.125,293.961,0.254,91.169,1.028,1.612,3737.8869999999993,1.7717682482099192e-05
Pakistan,0.533,2016,213524848.0,0.0,62.121,430.689,39.72,92.566,111.511,13.59,328.849,1.699,97.922,1.199,2.458,3198.324,1.497869699923636e-05
Pakistan,0.534,2017,216379648.0,0.0,83.121,830.01,407.396,80.382,110.988,20.729,339.493,3.433,90.259,1.753,4.692,3989.256,1.8436373461518896e-05
Pakistan,0.535,2018,219731488.0,0.0,137.646,856.861,435.876,77.996,114.169,23.48,283.339,3.289,90.689,1.912,7.492,4050.749,1.84349955341858e-05
Pakistan,0.537,2019,223293280.0,0.0,156.562,851.917,444.73,95.254,130.599,23.227,250.625,1.973,107.372,1.846,8.299,4091.404,1.83230055109585e-05
Pakistan,0.536,2020,227196736.0,0.0,181.748,837.067,411.598,105.018,140.15,24.067,243.721,2.025,116.083,1.864,7.175,4090.516000000001,1.800429034332606e-05
Pakistan,0.537,2021,231402112.0,0.0,200.761,932.805,448.92,98.472,150.986,39.409,283.124,2.247,111.577,1.878,8.981,4300.16,1.8583062889244503e-05
Pakistan,0.54,2022,235824864.0,0.0,178.546,835.711,382.023,89.944,162.995,55.665,275.142,3.08,107.33,2.204,12.102,4126.741999999999,1.7499181087198672e-05
Philippines,0.696,2015,103031360.0,4.68,135.082,383.707,33.225,23.335,60.115,0.0,215.399,29.712,60.115,0.373,2.015,2962.758,2.8755885586679623e-05
Philippines,0.696,2016,104875272.0,5.142,152.19,421.456,38.099,21.713,63.158,0.0,231.167,30.756,63.158,2.937,2.611,3048.387,2.906678516171095e-05
Philippines,0.7,2017,106738496.0,5.572,179.974,465.146,37.744,25.577,66.717,0.0,247.428,29.462,66.717,3.197,2.91,3147.4440000000004,2.948743066419074e-05
