Country,CPI,Year,Unemployed Rate,GDP,GDP per Capita,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
France,1.850815083,2018,9.018,2.6E+12,40449.41667,64277812,32.826,100.205,1408.24,428.384,169.104,1380.716,1048.389,879.651,27.588,332.328,27.325,75.485,7928.241,0.000123343
France,1.108254923,2019,8.415,2.64E+12,40993.94159,64399760,34.182,79.423,1388.441,436.62,147.688,1341.122,1009.287,872.398,28.017,331.834,30.704,91.245,7809.961,0.000121273
France,0.476498853,2020,8.01,2.44E+12,37841.16055,64480052,30.8,55.982,1190.199,405.828,162.052,1250.967,891.721,728.389,28.128,359.246,33.396,104.869,7261.577,0.000112617
France,1.64233141,2021,7.874,2.6E+12,40290.43328,64531448,34.84,75.042,1287.57,430.414,153.476,1306.055,952.558,782.114,29.48,353.496,38.938,96.762,7561.745,0.000117179
France,5.222367484,2022,7.308,2.67E+12,41314.24225,64626624,40.186,64.419,1225.805,383.718,115.418,1072.755,737.357,777.668,31.067,335.398,49.911,98.816,6954.518,0.000107611
Germany,0.514426137,2015,4.624,3.63E+12,44228.79313,82073232,30.778,915.056,2981.134,769.536,51.105,799.726,237.191,1296.542,160.996,562.535,102.538,217.118,10139.255,0.000123539
Germany,0.491747008,2016,4.122,3.71E+12,45061.76936,82331432,30.851,889.935,3060.661,848.847,55.002,780.79,217.415,1321.879,163.024,563.375,100.539,213.96,10262.278,0.000124646
Germany,1.509494851,2017,3.746,3.81E+12,46112.3043,82624368,31.384,835.93,3060.821,877.385,53.625,827.313,194.914,1347.506,162.955,632.398,103.154,281.28,10425.665,0.000126181
Germany,1.732168798,2018,3.384,3.85E+12,46443.34679,82896696,32.718,806.69,2944.437,858.507,46.811,843.246,192.963,1279.239,162.595,650.283,117.259,290.9,10243.648,0.000123571
Germany,1.445659769,2019,3.136,3.89E+12,46783.9667,83148144,32.16,624.218,2809.212,892.83,52.01,885.628,189.89,1292.164,160.513,695.738,119.201,331.853,10104.417,0.000121523
Germany,0.144877926,2020,3.856,3.74E+12,44882.33819,83328992,39.271,514.867,2554.146,871.075,48.119,889.736,162.255,1168.205,163.162,727.481,129.991,346.938,9635.246,0.000115629
Germany,3.066666667,2021,3.638,3.84E+12,46038.44018,83408560,34.888,621.935,2695.155,917.38,51.437,849.426,173.583,1155.841,160.416,675.842,129.107,299.994,9786.004,0.000117326
Germany,6.872574386,2022,3.135,3.91E+12,46899.45429,83369840,34.941,641.76,2597.101,775.447,45.949,815.899,86.835,1179.893,165.541,729.064,157.221,325.412,9577.063,0.000114874
India,4.906973441,2015,7.894,7.39E+12,5586.35332,1322866560,3.592,4490.47,7264.577,478.068,358.926,665.102,98.993,2296.038,97.737,566.109,17.683,88.172,18440.467,1.39E-05
India,4.948216341,2016,7.8,8.06E+12,6021.052972,1338636288,7.59,4587.692,7609.863,507.91,343.682,675.108,97.354,2514.262,79.221,577.754,30.936,116.325,19163.697,1.43E-05
India,3.328173375,2017,7.723,8.55E+12,6313.710732,1354195712,5.467,4737.157,7861.351,535.999,361.465,739.391,95.548,2588.196,79.512,643.843,57.336,140.062,19862.327,1.47E-05
India,3.938826467,2018,7.652,9.17E+12,6698.303971,1369003264,10.544,4981.602,8266.076,579.963,369.748,822.03,99.143,2704.512,86.905,722.887,96.123,159.567,20917.1,1.53E-05
India,3.729505735,2019,6.51,9.6E+12,6940.869254,1383112064,12.996,4989.023,8373.467,592.498,427.202,943.882,114.238,2791.946,100.591,829.644,121.96,166.895,21483.342,1.55E-05
India,6.623436776,2020,7.859,8.95E+12,6409.397637,1396387072,12.182,4714.672,7856.125,603.601,429.933,972.249,112.433,2537.853,104.881,859.816,154.12,158.7,20536.565,1.47E-05
India,5.131407472,2021,6.38,9.8E+12,6962.383713,1407563904,19.677,5352.792,8565.35,623.727,419.553,1019.728,110.276,2588.831,113.308,909.452,178.734,178.181,22100.609,1.57E-05
India,6.699034141,2022,4.822,1.05E+13,7409.115973,1417173120,28.016,5562.658,8949.696,582.508,456.08,1153.487,115.57,2804.53,123.114,1037.917,248.09,182.617,23266.283,1.64E-05
Indonesia,6.363121131,2015,4.514,2.68E+12,10343.81737,259091968,8.366,532.274,1793.24,440.371,37.003,72.86,0,820.596,27.467,72.86,0.014,0.01,5820.061,2.25E-05
Indonesia,3.525805157,2016,4.301,2.82E+12,10769.5173,261850176,27.504,544.316,1789.989,454.212,49.999,106.822,0,791.461,29.248,106.822,0.056,0.015,5916.444,2.26E-05
Indonesia,3.80879807,2017,3.783,2.96E+12,11190.97502,264498848,23.517,566.109,1860.053,445.182,49.586,107.655,0,848.762,34.474,107.655,0.077,0,6060.07,2.29E-05
Indonesia,3.198346416,2018,4.387,3.12E+12,11682.46835,267066848,34.289,655.729,1984.084,452.81,57.244,167.543,0,875.545,75.269,167.543,0.239,0.503,6488.798,2.43E-05
Indonesia,3.03058665,2019,3.59,3.27E+12,12129.85038,269582880,58.482,801.231,2109.228,454.684,55.78,190.401,0,853.313,74.551,190.401,0.312,1.276,6808.659,2.53E-05
Indonesia,1.920968006,2020,4.255,3.2E+12,11770.85165,271857984,76.806,765.38,1942.665,425.805,63.884,221.088,0,751.479,78.701,221.088,0.449,1.247,6568.592,2.42E-05
Indonesia,1.560129905,2021,3.827,3.32E+12,12127.71282,273753184,84.981,763.23,1975.075,429.344,64.624,238.979,0,782.501,87.726,238.979,0.504,1.143,6688.086,2.44E-05
Indonesia,4.209463834,2022,3.462,3.5E+12,12704.11225,275501344,95.542,1216.511,2515.085,440.48,71.162,276.337,0,858.094,107.549,276.337,1.157,0.928,7881.182,2.86E-05
Iran,12.48468156,2015,11.166,1.33E+12,16260.98803,81790848,0,12.695,2690.681,1840.195,35.687,45.156,9.033,837.791,0.052,36.123,0.004,0.38,7522.797,9.20E-05
Iran,7.24542549,2016,12.618,1.41E+12,16925.50444,83306232,0,10.56,2826.38,1963.19,41.285,58.417,16.632,852.63,0.07,41.786,0.013,0.418,7827.381,9.40E-05
Iran,8.044924377,2017,12.232,1.49E+12,17632.07608,84505080,0,11.982,2930.551,2050.04,45.859,64.78,17.768,868.529,0.078,47.012,0.228,0.846,8054.673,9.53E-05
Iran,18.01411834,2018,12.195,1.48E+12,17286.17354,85617560,0,15.849,3049.76,2126.434,26.029,46.159,17.481,907.478,0.078,28.678,0.587,1.984,8238.517,9.62E-05
Iran,39.90734557,2019,10.74,1.44E+12,16635.05083,86564208,0,18.933,3155.206,2183.896,89.267,108.766,16.215,952.377,0.034,92.55,1.346,1.903,8639.493,9.98E-05
Iran,30.59413904,2020,9.687,1.45E+12,16611.25914,87290192,0,21.418,3306.496,2367.673,60.943,81.458,15.953,917.405,0.071,65.505,1.533,2.957,8861.412,0.000101517
Iran,43.38901627,2021,9.282,1.53E+12,17401.50453,87923432,0,20.834,3272.439,2295.314,36.181,49.619,8.88,956.291,0.071,40.738,1.528,2.959,8705.854,9.90E-05
Iran,43.48846417,2022,9.085,1.57E+12,17729.98226,88550568,0,21.504,3408.794,2394.013,36.51,58.079,16.427,993.278,0.09,41.651,1.801,3.25,8997.397,0.000101607
Italy,0.0387904,2015,11.896,2.03E+12,33702.50694,60232908,15.486,143.395,1496.994,643.154,122.631,317.772,0,710.444,77.898,317.772,61.783,39.974,5962.303,9.90E-05
Italy,-0.094016657,2016,11.688,2.05E+12,34099.24791,60118628,15.401,127.732,1507.98,675.458,113.592,313.951,0,704.79,78.43,313.951,59.174,47.353,5973.812,9.94E-05
Italy,1.226533166,2017,11.211,2.09E+12,34830.99733,60004024,15.61,111.904,1541.387,715.788,96.335,301.734,0,713.695,77.696,301.734,64.876,47.216,6004.975,0.000100076
Italy,1.137487636,2018,10.61,2.11E+12,35238.65219,59877432,15.979,102.567,1525.036,692.141,129.177,328.604,0,730.328,76.64,328.604,59.936,46.873,6053.885,0.000101105
Italy,0.611246944,2019,9.952,2.12E+12,35494.27859,59727936,9.359,77.534,1494.493,707.906,122.194,325.063,0,709.052,77.814,325.063,62.443,53.252,5983.173,0.000100174
Italy,-0.137707574,2020,9.164,1.93E+12,32436.66078,59500576,13.227,59.253,1320.996,676.252,125.1,330.966,0,585.492,77.862,330.966,65.504,49.273,5654.891,9.50E-05
Italy,1.873783258,2021,9.497,2.06E+12,34773.60426,59240336,13.822,65.182,1440.023,723.737,118.766,328.594,0,651.104,75.727,328.594,65.519,54.76,5886.828,9.94E-05
Italy,8.201289912,2022,8.069,2.14E+12,36248.16456,59037472,12.353,86.385,1434.277,651.99,74.036,283.974,0,695.903,70.836,283.974,73.317,53.431,5742.476,9.73E-05
Japan,0.795279631,2015,3.385,4.71E+12,37013.4802,127250936,3.772,1397.981,4921.101,1187.176,230.963,442.829,11.692,2335.943,89.322,431.138,93.016,14.065,13173.998,0.000103528
Japan,-0.127258844,2016,3.132,4.74E+12,37324.64034,126993856,4.614,1395.385,4828.55,1164.174,212.626,467.055,45.414,2268.99,74.12,421.642,115.985,14.297,13028.852,0.000102594
Japan,0.484199796,2017,2.822,4.82E+12,38053.89417,126662464,4.771,1415.963,4829.954,1169.865,210.89,524.723,74.247,2244.126,74.44,450.476,143.818,16.557,13176.83,0.000104031
Japan,0.989094598,2018,2.467,4.85E+12,38414.05491,126255872,5.137,1386.597,4710.478,1157.082,214.297,606.079,124.672,2166.799,80.503,481.406,161.977,19.492,13132.519,0.000104015
Japan,0.468776159,2019,2.351,4.83E+12,38396.81607,125791680,4.781,1362.594,4556.221,1081.233,194.849,649.316,166.025,2112.394,86.268,483.291,177.742,19.652,12913.366,0.000102657
Japan,-0.024995834,2020,2.809,4.63E+12,36967.61445,125244760,5.148,1270.752,4189.554,1041.275,205.723,635.695,108.366,1877.527,94.994,527.329,199.39,22.074,12197.827,9.74E-05
Japan,-0.233352779,2021,2.828,4.73E+12,37957.66024,124612528,5,1369.467,4316.124,1035.061,208.356,721.357,153.727,1911.596,109.044,567.63,220.276,24.953,12663.591,0.000101624
Japan,2.497702782,2022,2.6,4.77E+12,38482.73282,123951696,5.042,1365.525,4294.471,1002.223,195.192,710.41,129.528,1926.723,118.667,580.882,237.434,24.547,12612.644,0.000101755
