Country,CPI,Year,Unemployed Rate,GDP,Happiness Score
Russia,4.470366608,2019,4.496,3710000000000.0,5.648
Russia,3.381659372,2020,5.589,3610000000000.0,5.546000004
Russia,6.69445892,2021,4.715,3810000000000.0,5.477
Russia,4.221622316,2022,3.867,3730000000000.0,5.459
Saudi Arabia,1.206073222,2015,5.6,1590000000000.0,6.411
Saudi Arabia,2.068840361,2016,5.6,1630000000000.0,6.379
Saudi Arabia,-0.83819458,2017,5.89,1630000000000.0,6.343999863
Saudi Arabia,2.45814158,2018,6.029,1670000000000.0,6.371
Saudi Arabia,-2.093333333,2019,5.636,1690000000000.0,6.375
Saudi Arabia,3.44545826,2020,7.45,1610000000000.0,6.406499863
Saudi Arabia,3.063289889,2021,6.621,1680000000000.0,6.494
Saudi Arabia,2.474073719,2022,5.589,1820000000000.0,6.523
South Korea,0.706331772,2015,3.546,1800000000000.0,5.984
South Korea,0.97168574,2016,3.65,1860000000000.0,5.835
South Korea,1.944332308,2017,3.653,1920000000000.0,5.837999821
South Korea,1.47583935,2018,3.824,1970000000000.0,5.875
South Korea,0.383000304,2019,3.746,2020000000000.0,5.895
South Korea,0.537288023,2020,3.931,2000000000000.0,5.872399807
South Korea,2.498333333,2021,3.639,2080000000000.0,5.845
South Korea,5.089513651,2022,2.857,2140000000000.0,5.935
Spain,-0.50036571,2015,22.058,1490000000000.0,6.329
Spain,-0.202598,2016,19.635,1530000000000.0,6.361
Spain,1.956076334,2017,17.224,1580000000000.0,6.402999878
Spain,1.674981369,2018,15.255,1620000000000.0,6.31
Spain,0.699518994,2019,14.104,1650000000000.0,6.354
Spain,-0.322753017,2020,15.532,1460000000000.0,6.400899887
Spain,3.09313512,2021,14.781,1540000000000.0,6.491
Spain,8.390576341,2022,12.917,1630000000000.0,6.476
Thailand,-0.900424963,2015,0.597,1000000000000.0,6.455
Thailand,0.188149704,2016,0.688,1040000000000.0,6.474
Thailand,0.665631893,2017,0.83,1080000000000.0,6.423999786
Thailand,1.063897542,2018,0.766,1130000000000.0,6.072
Thailand,0.706728601,2019,0.716,1150000000000.0,6.008
Thailand,-0.845937147,2020,1.099,1080000000000.0,5.998799801
Thailand,1.230395413,2021,1.215,1100000000000.0,5.985
Thailand,6.077412284,2022,0.94,1120000000000.0,5.891
Turkey,7.670853648,2015,10.304,1730000000000.0,5.332
Turkey,7.775134153,2016,10.899,1780000000000.0,5.389
Turkey,11.14431108,2017,10.919,1920000000000.0,5.5
Turkey,16.3324639,2018,10.956,1980000000000.0,5.483
Turkey,15.17682157,2019,13.73,1990000000000.0,5.373
Turkey,12.27895745,2020,13.148,2030000000000.0,5.131800175
Turkey,19.59649269,2021,11.969,2260000000000.0,4.948
Turkey,72.30883599,2022,10.432,2390000000000.0,4.744
United Arab Emirates,4.069966084,2015,1.792,675000000000.0,6.901
United Arab Emirates,1.617488089,2016,1.64,712000000000.0,6.573
