Country,CPI,Year,Unemployed Rate,GDP,GDP per Capita,Population,total_consumption,Energy Consumption Per Capita,Happiness Score
Italy,0.0387904,2015,11.896,2.03E+12,33702.50694,60232908,5962.303,9.90E-05,5.948
Italy,-0.094016657,2016,11.688,2.05E+12,34099.24791,60118628,5973.812,9.94E-05,5.977
Italy,1.226533166,2017,11.211,2.09E+12,34830.99733,60004024,6004.975,0.000100076,5.964000225
Italy,1.137487636,2018,10.61,2.11E+12,35238.65219,59877432,6053.885,0.000101105,6
Italy,0.611246944,2019,9.952,2.12E+12,35494.27859,59727936,5983.173,0.000100174,6.223
Italy,-0.137707574,2020,9.164,1.93E+12,32436.66078,59500576,5654.891,9.50E-05,6.38740015
Italy,1.873783258,2021,9.497,2.06E+12,34773.60426,59240336,5886.828,9.94E-05,6.483
Italy,8.201289912,2022,8.069,2.14E+12,36248.16456,59037472,5742.476,9.73E-05,6.467
Japan,0.795279631,2015,3.385,4.71E+12,37013.4802,127250936,13173.998,0.000103528,5.987
Japan,-0.127258844,2016,3.132,4.74E+12,37324.64034,126993856,13028.852,0.000102594,5.921
Japan,0.484199796,2017,2.822,4.82E+12,38053.89417,126662464,13176.83,0.000104031,5.920000076
Japan,0.989094598,2018,2.467,4.85E+12,38414.05491,126255872,13132.519,0.000104015,5.915
Japan,0.468776159,2019,2.351,4.83E+12,38396.81607,125791680,12913.366,0.000102657,5.886
Japan,-0.024995834,2020,2.809,4.63E+12,36967.61445,125244760,12197.827,9.74E-05,5.870800018
Japan,-0.233352779,2021,2.828,4.73E+12,37957.66024,124612528,12663.591,0.000101624,5.94
Japan,2.497702782,2022,2.6,4.77E+12,38482.73282,123951696,12612.644,0.000101755,6.039
Malaysia,2.104389802,2015,3.1,6.85E+11,22047.81808,31068834,4289.299,0.000138058,5.77
Malaysia,2.090566595,2016,3.44,7.16E+11,22711.11456,31526414,4421.989,0.000140263,6.005
Malaysia,3.871201158,2017,3.41,7.57E+11,23674.14469,31975812,4473.125,0.000139891,6.084000111
Malaysia,0.884709161,2018,3.3,7.94E+11,24506.725,32399270,4517.853,0.000139443,6.322
Malaysia,0.662891866,2019,3.26,8.29E+11,25271.28989,32804024,4584.617,0.000139758,5.339
Malaysia,-1.138702154,2020,4.54,7.83E+11,23584.34587,33199988,4503.094,0.000135635,5.384300232
Malaysia,2.477102415,2021,4.64,8.07E+11,24036.54842,33573872,4612.909,0.000137396,5.384
Malaysia,3.378698625,2022,3.93,8.78E+11,25870.54075,33938216,4788.891,0.000141106,5.711
Mexico,2.72064065,2015,4.311,1.92E+12,15980.0388,120149896,6558.061,5.46E-05,7.187
Mexico,2.821707847,2016,3.853,1.96E+12,16129.13526,121519224,6656.432,5.48E-05,6.778
Mexico,6.04145724,2017,3.419,2.01E+12,16362.84739,122839256,6741.265,5.49E-05,6.578000069
Mexico,4.899350154,2018,3.275,2.05E+12,16530.40986,124013864,6697.665,5.40E-05,6.488
Mexico,3.635961421,2019,3.477,2.05E+12,16388.8147,125085312,6656.578,5.32E-05,6.595
Mexico,3.396834156,2020,4.441,1.88E+12,14920.83671,125998296,6289.697,4.99E-05,6.465000153
Mexico,5.689208477,2021,4.019,1.97E+12,15547.9096,126705136,6590.581,5.20E-05,6.317
Mexico,7.896276192,2022,3.256,2.03E+12,15921.05416,127504120,6788.393,5.32E-05,6.128
Netherlands,0.600248147,2015,6.873,7.61E+11,44656.71544,17041110,4110.108,0.000241188,7.378
Netherlands,0.316666667,2016,6.006,7.78E+11,45431.95158,17124512,4149.102,0.00024229,7.339
Netherlands,1.381458714,2017,4.839,8E+11,46492.15526,17207204,4174.113,0.000242579,7.376999855
Netherlands,1.703497947,2018,3.831,8.19E+11,47379.26704,17286042,4130.45,0.000238947,7.441
Netherlands,2.633699102,2019,3.38,8.35E+11,48090.04761,17363260,4135.088,0.000238152,7.488
Netherlands,1.272460378,2020,3.819,8.03E+11,46057.9394,17434562,4100.507,0.000235194,7.448900223
